WMO,Modifier,Duplicate,Name,Country,Latitude,Longitude,Elevation,N,MAP,Cv,DryMonth,ONDJFM_P,ONDJFM_DryM,ONDJFM_WetM,AMJJAS_P,AMJJAS_DryM,AMJJAS_WetM,P & T
17200,0,1,MALATYA,TURKEY,38.43,38.08,849,60,387.02,0.241,1.70,256.43,35.26,50.85,131.19,1.70,55.84,Yes
17202,0,1,ELAZIG,TURKEY,38.7,39.2,882,34,426.18,0.204,1.34,280.05,37.46,57.65,139.50,1.34,65.80,Yes
17210,0,1,SIIRT,TURKEY,37.9,41.9,895,31,793.01,0.27,1.00,540.73,47.07,112.48,192.13,1.00,107.09,Yes
17220,0,1,IZMIR,TURKEY,38.4,27.3,25,93,670.33,0.252,2.35,562.07,40.27,136.98,103.35,2.35,43.09,Yes
17240,0,1,ISPARTA,TURKEY,37.8,30.6,1043,66,566.15,0.274,11.61,390.62,36.34,93.68,180.43,11.61,55.17,Yes
17244,0,1,KONYA,TURKEY,37.9,32.5,1022,67,321.18,0.251,5.13,200.70,28.82,41.44,122.35,5.13,43.01,Yes
17250,0,1,ULUKISLA,TURKEY,37.6,34.5,1451,45,341.68,0.193,5.38,192.63,23.07,38.21,145.55,5.38,50.55,No
17260,0,1,GAZIANTEP,TURKEY,37.08,37.37,855,33,541.31,0.236,1.36,447.39,33.54,105.16,94.97,1.36,51.25,Yes
17270,0,1,URFA,TURKEY,37.1,38.8,547,64,448.83,0.281,0.62,376.16,21.89,91.74,78.75,0.62,47.64,Yes
17280,0,1,DIYARBAKIR,TURKEY,37.9,40.2,677,62,482.64,0.242,0.51,363.86,30.72,72.54,122.58,0.51,69.75,Yes
17292,0,1,MUGLA,TURKEY,37.2,28.4,646,58,1200.61,0.26,7.41,1041.30,65.97,284.36,161.61,7.41,67.35,Yes
17300,0,1,ANTALYA,TURKEY,36.9,30.7,43,57,1061.45,0.278,1.19,977.97,62.58,274.76,99.28,1.19,49.29,Yes
17352,3,1,ADANA INCIRLIK,TURKEY,37,35.3,66,59,656.83,0.277,5.12,505.31,42.31,122.68,146.26,5.12,50.89,Yes
17370,0,1,ISKENDERUN,TURKEY,36.6,36.2,3,34,776.22,0.228,5.66,554.72,76.27,106.26,198.39,5.66,63.94,Yes
